run_id,split,site,plot_name,reference_id,point_count,best_prediction_id,best_iou,overlapping_prediction_count,failure_mode
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,86,22579,108,0.12010086335019955,2,fragmented
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,87,30410,105,0.08183327560052078,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,88,9640,106,0.03429661320944557,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,89,3195,106,0.02339379400642757,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,91,63313,113,0.48908871454435726,1,near_miss
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,92,30789,106,0.027053318103098863,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,93,36509,97,0.1788318506635555,2,fragmented
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,94,926,113,0.008350005787132724,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,95,671,108,0.014851930076843572,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,96,2870,117,0.03957051687460473,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,97,354,109,0.02627986348122867,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,98,1221,108,0.019967872919548435,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,100,932,109,0.31414956011730205,1,near_miss
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,101,61578,97,0.4887150909250357,1,near_miss
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,102,7740,119,0.21619469639271618,1,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,104,229,119,0.008102781224906928,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,105,841,119,0.03021456721646475,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,106,1361,119,0.04941966566902694,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,107,64835,121,0.17085397637887717,2,fragmented
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,108,18989,100,0.1933852533630019,1,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,109,2349,121,0.05527851759505865,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,110,3084,121,0.051087618309625285,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,111,15174,121,0.3267793735757062,1,near_miss
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,112,725,97,0.00011917436003368661,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,113,1410,99,0.019500478352026382,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,114,249,99,0.0029725906640152523,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,115,17464,99,0.2542478950163089,2,near_miss
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,116,9571,99,0.17476452673403117,1,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_validation,TUWIEN,train,117,46245,90,0.27163458451581424,1,near_miss
